skelbimo_pavadinimas;Namo numeris:;Plotas:;Kaina mėn.:;Kambarių sk.:;Aukštas:;Aukštų sk.:;Metai:;Pastato tipas:;Šildymas:;Įrengimas:;Ypatybės:;Papildomos patalpos:;Papildoma įranga:;Apsauga:;Nuoroda;Įdėtas;Redaguotas;Aktyvus iki;Įsiminė;Peržiūrėjo;kaina_eur;coordinate_x;coordinate_y;Skelbimą peržiūrėjo (iš viso/šiandien);Skelbimo tekstas;error_get_energy_consumption_class;error_get_air_polution_data;url_crawl;Pastato energijos suvartojimo klasė:;Buto numeris:;Azoto dioksidas (NO2);Kietosios dalelės (KD10);energijos_suvartojimo_klase;error_get_perziuru_sk;error_get_coordinates;scrape_date
Vilnius, Šnipiškės, Kalvarijų g., 1 kambario buto nuoma;142;16,12 m²;420 €;1;4;5;1968;Blokinis;Centrinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais;Balkonas;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1183634;2022-11-10;2022-11-12;2022-11-20;54;597/89 (iš viso/šiandien);420;54.706906;25.282801;597/89;"Nuomojamas funkcionaliai išplanuotas 1 kambario butas - studija (ne bendrabučio tipo name).Strategiškai patogi vieta, aplink daug prekybos centrų, itin patogus susisiekimas tiek viešuoju transportu, tiek automobiliu visomis Vilniaus miesto kryptimis.
Su buitine technika ir baldais.Buto ypatybės:
- Šildymas: centrinis (nedidelės šildymo kainos).
- Naujai įrengtas butas, dar negyventas.
- Skalbimo mašina - džiovyklė.- Šviesus ir šiltas butas.
- Bute sumontuoti roletai: diena-naktis.- Rami kaimynystė.- Namas stovi atokiau nuo pagrindinių centrinių gatvių.
- Sutvarkyta namo laiptinė.
- Galima su gyvūnais.";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-nuomojamas-funkcionaliai-isplanuotas-1-4-1183634/;;;;;;;;2022_11_13
Vilnius, Žvėrynas, Studentų g., 1 kambario buto nuoma;41;20 m²;499 €;1;4;5;2021;Mūrinis;Centrinis;Įrengtas;Internetas, Kabelinė televizija, Galima deklaruoti gyvenamąją vietą;Vieta automobiliui;Skalbimo mašina, Šaldytuvas, Viryklė, Dušo kabina, Rekuperacinė sistema;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1129662;2022-10-09;2022-11-12;2022-11-19;134;1684/33 (iš viso/šiandien);499;54.696307;25.260323;1684/33;"Vilniaus centre (Žvėryne), prie Neries upės, nuomojami naujai įrengti butai su visais baldais ir reikiama buitine technika (skalbimo mašina, gartraukiu, šaldytuvu, kaitlente)Nuomos kaina 499 Eur/mėn (nėra tarpininkavimo mokesčio, išrašomi visi reikalingi dokumentai). Butas bus laisvas nuo 11/30 d.- Puiki lokacija norintiems gyventi centre;
- Aplink biurų pastatai GreenHall, Meadow, Pier, Valley, Danske HQ (Danske Campus), Telia, Swedbank, SEB, Luminor ir kiti - patogu derinti darbą ir poilsį;
- Šalia atnaujinta Neries krantinė su laisvalaikio zonomis, žaidimų aikštelėmis;
- Šalia Baltas tiltas, prekybos centrai Panorama, Europa, CUP ir kiti;
- Šalia Vilniaus kolegija - patogi vieta gyventi ir studijuoti;
- Patogus susisiekimas su bet kuria Vilniaus vieta;___________________________________________________________In the center of Vilnius (Zverynas area), just a few steps from the river Neris, newly furnished apartments and studios for rent, with the all necessary furniture and household appliances (washing machine, refrigerator, stove).Rental price 500 Eur / month (no brokerage fee, all necessary documents are issued). For rent will be available from the 31th of November.- Great location for those who want to live in the center;
- Just a few steps from central business district with well known office buildings GreenHall, Meadow, Pier, Valley, Danske HQ (Danske Campus), Telia, Swedbank, SEB, Luminor and others. Very convenient to combine work and life balance;
- Near the White bridge leisure zone, playgrounds, old town is in walking distance
- Just a few steps from the shopping centers Panorama, Europa, CUP and others;
-Next to Vilnius College - a convenient place to live and study;
- Convenient connection to any place in Vilnius;";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-studentu-g-vilniaus-centre-zveryne-prie-neries-upes-4-1129662/;A;;;;;;;2022_11_13
Vilnius, Šnipiškės, Laumėnų g., 1 kambario buto nuoma;2;43,6 m²;575 €;1;2;6;2022;Monolitinis;Centrinis;Įrengtas;Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais;Balkonas, Drabužinė;Skalbimo mašina, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Vonia, Rekuperacinė sistema;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1186834;2022-10-18;2022-11-10;;16;1678/20 (iš viso/šiandien);575;54.702554;25.270478;1678/20;"Tik dabar: Sudarius sutartį iki Lapkričio 15 dienos, nereikės mokėti vienkartinio sutarties mokesčio!!!ATVIRŲ DURŲ VALANDOMIS GALIMA APŽIŪRA IR KITŲ BUTŲ!Naujas studijos tipo butas ilgalaikei nuomai Šnipiškių raj., Laumėnų g. 2Tiesiogiai iš savininko.- Tai vienam savininkui priklausantis specialiai sukurtas nuomojamas namas, užtikrinantis nuomininkams saugumą, kad galėtumėte gyventi tiek, kiek norite
- Mes turime gerą klientų aptarnavimo lygį ir profesionalų „Lumi Namai“ komandos valdymą.Bute yra pilnai integruota virtuvė, įmontuotos spintos ir vonios baldai.
Baldai tik tie, kuriuos matote nuotraukose. Visa kita turi įsigyti pats nuomininkas.Privalumai:
- Aliuminio profilio, dideli langai iki grindų
- Grindinis šildymas
- Rekuperacijos sistema
- A+ energinė klasė
- Požeminė automobilių stovėjimo aikštelė
- Saugi žaidimų zona mažiesiems
- Uždaras vidinis kiemas su bėgimo takeliu
- Balkonas 4.62 m²
- Gyvūnams draugiškiPapildomos paslaugos:- Parkavimo vieta požeminėje aikštelėje (75€ vieta mėnesiui)
-SandėliukasPriemokos ir papildomos paslaugos, kurios neįskaičiuotos į nuomos kainą:
- Mokesčiai ir išlaidos už administravimą ir komunalines paslaugas, įskaitant šiukšlių išvežimą- Priemokos pagal skaitiklių rodmenis (suvartotas vanduo, elektra, šildymas)
- Užsakytos paslaugosNuomos sąlygos:
- Dviejų (2) mėnesių nuomos dydžio užstatas.
- Vienkartinis sutarties mokestis 500€Skambinti darbo dienomis nuo 9:00 iki 17:00Užklausą butui rezervuoti galite pildyti :
https://www.luminamai.lt/1-room/laum%C4%97n%C5%B3-2-10-2Daugiau butų pasiūlymų ir informacija:
https://www.luminamai.lt
https://www.facebook.com/LumiNamaiLT";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-laumenu-g-tik-dabar-sudarius-sutarti-iki-lapkricio-15-4-1186834/;A+;10;;;;;;2022_11_13
Vilnius, Šnipiškės, Laumėnų g., 2 kambarių buto nuoma;2;43,6 m²;600 €;2;3;6;2022;Monolitinis;Centrinis;Įrengtas;Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais;Balkonas;Skalbimo mašina, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Vonia, Rekuperacinė sistema;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1190950;2022-11-03;2022-11-11;;10;872/64 (iš viso/šiandien);600;54.702554;25.270478;872/64;"Tik dabar: Sudarius sutartį iki Lapkričio 15 dienos, nereikės mokėti vienkartinio sutarties mokesčio!!!ATVIRŲ DURŲ VALANDOMIS GALIMA APŽIŪRA IR KITŲ BUTŲ!Dviejų kambarių ilgalaikė buto nuoma Šnipiškių raj., Laumėnų g. 2Tiesiogiai iš savininko.Tai vienam savininkui priklausantis specialiai sukurtas nuomojamas namas, užtikrinantis nuomininkams saugumą, kad galėtumėte gyventi tiek, kiek norite
Mes turime gerą klientų aptarnavimo lygį ir profesionalų „Lumi Namai“ komandos valdymą.Bute yra pilnai integruota virtuvė, įmontuotos spintos ir vonios baldai.Privalumai:
- Aliuminio profilio, dideli langai iki grindų
- Grindinis šildymas
- Rekuperacijos sistema
- A+ energinė klasė
- Požeminė automobilių stovėjimo aikštelė
- Saugi žaidimų zona mažiesiems
- Uždaras vidinis kiemas su bėgimo takeliu
- Balkonas 4.62 m²
- Gyvūnams draugiškiPapildomos paslaugos:- Parkavimo vieta požeminėje aikštelėje (75€ vieta mėnesiui)
-SandėliukasPriemokos ir papildomos paslaugos, kurios neįskaičiuotos į nuomos kainą:
- Mokesčiai ir išlaidos už administravimą ir komunalines paslaugas, įskaitant šiukšlių išvežimą
- Priemokos pagal skaitiklių rodmenis (suvartotas vanduo, elektra, šildymas)
- Užsakytos paslaugosNuomos sąlygos:
Dviejų (2) mėnesių nuomos dydžio užstatas.
Vienkartinis sutarties mokestis 500€Skambinti darbo dienomis nuo 9:00 iki 17:00Užklausą butui rezervuoti galite pildyti :
https://www.luminamai.lt/2-room/laum%C4%97n%C5%B3-2-16-2Daugiau butų pasiūlymų ir informacija:
https://www.luminamai.lt
https://www.facebook.com/LumiNamaiLT";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-laumenu-g-tik-dabar-sudarius-sutarti-iki-lapkricio-15-4-1190950/;A+;16;;;;;;2022_11_13
Vilnius, Šnipiškės, Kalvarijų g., 1 kambario buto nuoma;142;15,6 m²;450 €;1;4;5;1968;Blokinis;Centrinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais;;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Dušo kabina;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1189854;2022-11-07;2022-11-12;2022-12-19;36;844/18 (iš viso/šiandien);450;54.706906;25.282801;844/18;"Nuomojamas funkcionaliai išplanuotas 1 kambario butas - studija (ne bendrabučio tipo name).Strategiškai patogi vieta, aplink daug prekybos centrų, itin patogus susisiekimas tiek viešuoju transportu, tiek automobiliu visomis Vilniaus miesto kryptimis.
Su buitine technika ir baldais.Buto ypatybės:
- Šildymas: centrinis (nedidelės šildymo kainos).
- Naujai įrengtas butas, dar negyventas.
- Skalbimo mašina - džiovyklė.
- Šviesus ir šiltas butas.
- Bute sumontuoti roletai: diena-naktis.
- Rami kaimynystė.
- Namas stovi atokiau nuo pagrindinių centrinių gatvių.
- Sutvarkyta namo laiptinė.
- Galima su gyvūnais.";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-nuomojamas-funkcionaliai-isplanuotas-1-4-1189854/;;;;;;;;2022_11_13
Vilnius, Šnipiškės, Juozo Balčikonio g., 1 kambario buto nuoma;19;19 m²;500 €;1;3;5;2020;Mūrinis;Centrinis kolektorinis;Įrengtas;Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais;;;;www.aruodas.lt/4-1006667;2022-10-31;2022-11-11;;654;810/46 (iš viso/šiandien);500;54.720888;25.278539;810/46;"ŠIE APARTAMENTAI ATSILAISVINA NUO LAPKRIČIO 28d.
Anksčiausią įsikraustymo datą rasite mūsų tinklalapyje - www.liv-in.ltKviečiame rezervuoti apartamentus nuomai didžiausiame COLIVING projekte Lietuvoje ir Baltijos šalyse!Jau veikiame nuo 2020 m. rugsėjo mėn.APARTMENTŲ NUOMA NUO 2 MĖN!COLIVING tipo apartamentai:Šie apartamentai pritaikyti gyventi vienam. Juose rasite 120x200 lovą bei spintą, nedidelę virtuvėlę su šaldytuvu ir baro stalą su kėdėmis. Jei vietos kulinariniams sugebėjimams įgyvendinti bus per mažai, visuomet turėsite galimybę pasinaudoti savo apartamento aukšte esančia bendra erdvia virtuve, kurioje rasite visus maisto gamybai reikalingus įrankius bei buitinę techniką. Visi apartamentai turi balkonus, kuriuose galėsite įkvėpti gryno oro neišeinant iš namų.Į kainą įskaičiuota:- bendra virtuvė su visa įranga ir inventoriumi;
- komunalinių mokesčių administravimas,
- wi-fi apartamentuose ir bendrose erdvėse,
- visos bendrabūvio erdvės (darbo, sporto, poilsio ir pramogų zonos),
- reguliarūs renginiai,
- aktyvi bendruomenė.Į kainą neįskaičiuota:- komunaliniai mokesčiai (100 Eur/mėn);
- gyvūnas (25 Eur/mėn);
- savitarnos skalbyklos paslaugos;
- kitos papildomos paslaugos (parkingas, sandėliukas, t.t.).DAUGIAU PASIŪLYMŲ IR REZERVACIJA www.liv-in.ltKilus klausimams, susisiekime:vilnius@liv-in.lt
tel. tel. +370 614 59599";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-juozo-balcikonio-g-sie-apartamentai-atsilaisvina-nuo-lapkricio-4-1006667/;;;;;;;;2022_11_13
Vilnius, Antakalnis, Nemenčinės pl., 1 kambario buto nuoma;112;47,5 m²;650 €;1;2;3;2022;Mūrinis;Elektra;Įrengtas;Atskiras įėjimas, Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Virtuvė sujungta su kambariu;Balkonas, Vieta automobiliui, Drabužinė;Kondicionierius, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Vonia, Rekuperacinė sistema;Šarvuotos durys, Signalizacija;www.aruodas.lt/4-1172207;2022-08-31;2022-11-10;2022-12-08;10;1367/16 (iš viso/šiandien);650;54.755162;25.364956;1367/16;"Nuomojamas pilnai įrengtas 1 kambario butas su visa reikalinga, nauja buitine technika: baldai, virtuvės komplektas, elektrinė kaitlentė ir orkaitė, šaldytuvas, vonios įranga, kondicionierius, rekuperatorius, šaldymo ir šildymo sistema. Namas yra naujos statybos, butas turi savo atskirą įėjimą.Geras privažiavimas, teritorija sutvarkyta ir aptverta. Šalia objekto netoli yra autobusų stotelė, prekybos centrai, darželis. Draugiška ir bendruomeniška aplinka. Patogus susisiekimas su visais miesto rajonais.Nėra tarpininkavimo mokesčio. Kontaktinis tel. nr. +37066392199Bendra Informacija:
- Adresas: Nemenčinės pl. 112, Vilnius
- Statybos pabaigos metai: 2022
- Buto plotas: 47,5 (m²)
- Atskiras įėjimas;
- Nauji baldai;
- Virtuvės įranga;
- Vonios komplektas;
- Elektrinė kaitlentė ir orkaitė;
- Skalbimo mašina;
- Patogus susisiekimas;
- Nėra tarpininkavimo mokesčio.";'NoneType' object has no attribute 'text';;https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-nemencines-pl-nuomojamas-pilnai-irengtas-1-kambario-butas-4-1172207/;A+;;12.6 µg/m3;21.7 µg/m3;;;;2022_11_13
Vilnius, Šnipiškės, Giedraičių g., 2 kambarių buto nuoma;56;39 m²;750 €;2;3;6;2022;Mūrinis;Centrinis kolektorinis;Įrengtas;Aukštos lubos, Virtuvė sujungta su kambariu;Balkonas, Vieta automobiliui, Drabužinė;Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Vonia, Rekuperacinė sistema;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1188424;2022-11-07;2022-11-09;2022-12-08;11;378/20 (iš viso/šiandien);750;54.702431;25.279249;378/20;"IŠNUOMOJAMAS NAUJOS STATYBOS2-JŲ KAMBARIŲ BUTAS ŠNIPIŠKĖSE!BUTE DAR NIEKAS NEGYVENO.JŪS BŪSITE PIRMASIS NUOMININKAS!Išnuomojamas naujos statybos, 2-jų kambarių, 39 kv.m. butas Šnipiškėse.- Bute yra atskiras miegamasis, didelė drabužinė, vonios kambarys.
- Butui priklauso 5 kv.m. balkonas. Iš jo galėsite grožėtis Konstitucijos pr. stovinčiais dangoraižiais.- išnuomojamas su visais baldais ir buitine technika.
- Bute yra rekuperacinė sistema.
- Butui priklauso stovėjimo vieta, esanti automobilių stovėjimo aikštelėje po namu. Grįžus vakare, jums nereikės ieškoti vietos kur pasistatyti automobilį.
- Šildymas yra grindinis, reguliuojamas.
- Bute įrengtas video domofonas.
- Labai šiltas ir jaukus butas.
- Puikus susisiekimas su visais Vilniaus mikrorajonais.
- Iki Katedros tik 20 min pėstute.
- Netoli namų yra prekybos centrai, visuomeninio transporto stotelė, visai šalia įsikūrusi jauki vyninė ir picerija.
- Butas nuomojamas be tarpininkų.
- Butas nuomojamas be augintinių.
- Galima gyventi iš karto.
- STovėjimo vieta parkinge po namu už papildomą mokestį.Dėl apžiūros ir detalesnės informacijos skambinkite:
Rasa
Tel.: +37066394060
";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-giedraiciu-g-isnuomojamas-4-1188424/;A+;;;;;;;2022_11_13
Vilnius, Šeškinė, Ozo g., 2 kambarių buto nuoma;41;42,37 m²;800 €;2;6;6;2021;Mūrinis;Centrinis kolektorinis;Įrengtas;Aukštos lubos, Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu, Galima su gyvūnais;Balkonas, Terasa;Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Indaplovė, Dušo kabina, Rekuperacinė sistema;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1185504;2022-11-09;2022-11-09;;8;300/22 (iš viso/šiandien);800;54.708342;25.241659;300/22;"Nuo Šeškinės kalvų link žvaigždžių stiebiasi daugiabutis, skirtas žmonėms, taip pat siekiantiems dangaus.
Šalia jokių kaimyninių daugiabučių, todėl iš balkonų kasdien galėsite stebėti visą platųjį žvaigždžių pasaulį, nes dangaus neužstos jokie aukšti pastatai.
Nors dėl gamtos artumo jausitės tarsi gyvendami ne mieste, pagrindiniai miesto objektai čia pat.
Daugumą jų pasieksite pėsčiomis, dviračiu ar elektriniu paspirtuku.Buto privalumai:
 Butas dar kvepiantis dažais - būsite pirmieji gyventojai!
 Pilnai įrengas, su baldais ir buitine technika (skalbimo mašina, šaldytuvas, indaplovė, orkaitė, kaitlentė, gartraukis, televizorius);
 Grindininis šildymas su automatiniu valdymu (termostatas, wifi);
 Rekuperacijos sistema valdoma valdikliu;
 Oro kondicionierius valdomas pulteriu ir wifi;
 Erdvus balkonas - 10,22 kv.m.;
 Kieme visuomet yra vietos automobiliui;
 A energinė klasė - itin mažos išlaidos šildymui ir visuomet šilti namaiProjekto privalumai:
Butas nuomojamas projekte “Paukščių takas”.
Būsimiems gyventojams projektas siūlo balansą tarp miesto šurmulio ir gamtos atokvėpio.
Bendra stogo terasa. Unikalia gamtos, dangoraižių ir TV bokšto panorama galėsite mėgautis ir iš bendros stogo terasos. Kai pritūks įkvėpimo, 360° miesto vaizdasJūsų paslaugoms.
Laisvalaikis prie namų. Mėgstantiems sportuoti daugybė galimybių! Sporto klubas - artimiausias kaimynas. Prie pat namų pasivaikščiojimo takai, vedantys link Žvėryno. Už kelių šimtų metrų - SEB sporto arena, futbolo bei ledo arenos. Apsigyvenus čia, pradėsite gyventi aktyviau net patys to nepastebėję!Susisiekimas
Butas bene patogiausioje miesto vietoje, nes iš čia kitų miesto rajonų pakraščiai gali būti pasiekiami per 10 minučių kelionės automobiliu. O kelionė iki miesto centro truks vos 5 minučių.
Didieji prekybos centrai „Akropolis”, „Ozas”, „Panorama” vos už 2 - 4 minučių.Minimalus nuomos terminas - 1 metai, užstato dydis - 1 mėnesio nuomos kaina.Turime daugiau, skirtingų dydžių ir kainų, butų nuomai.";'NoneType' object has no attribute 'text';;https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-ozo-g-nuo-seskines-kalvu-link-zvaigzdziu-stiebiasi-4-1185504/;A;;12.7 µg/m3;20.2 µg/m3;;;;2022_11_13
Vilnius, Šeškinė, Ozo g., 2 kambarių buto nuoma;41;48,08 m²;850 €;2;6;6;2021;Mūrinis;Centrinis kolektorinis;Įrengtas;Aukštos lubos, Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais;Balkonas;Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Indaplovė, Dušo kabina, Rekuperacinė sistema;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1187162;2022-11-08;2022-11-09;;3;192/12 (iš viso/šiandien);850;54.708342;25.241659;192/12;"Nuo Šeškinės kalvų link žvaigždžių stiebiasi daugiabutis, skirtas žmonėms, taip pat siekiantiems dangaus.
Šalia jokių kaimyninių daugiabučių, todėl iš balkonų kasdien galėsite stebėti visą platųjį žvaigždžių pasaulį, nes dangaus neužstos jokie aukšti pastatai.
Nors dėl gamtos artumo jausitės tarsi gyvendami ne mieste, pagrindiniai miesto objektai čia pat.
Daugumą jų pasieksite pėsčiomis, dviračiu ar elektriniu paspirtuku.Buto privalumai:
 Butas dar kvepiantis dažais - būsite pirmieji gyventojai!
 Pilnai įrengas, su baldais ir buitine technika (skalbimo mašina, šaldytuvas, indaplovė, orkaitė, kaitlentė, gartraukis, televizorius);
 Grindininis šildymas su automatiniu valdymu (termostatas, wifi);
 Rekuperacijos sistema valdoma valdikliu;
 Oro kondicionierius valdomas pulteriu ir wifi;
 Erdvus balkonas į pietų pusę - 6,19 kv.m.;
 Kieme visuomet yra vietos automobiliui;
 A energinė klasė - itin mažos išlaidos šildymui ir visuomet šilti namaiProjekto privalumai:
Butas nuomojamas projekte “Paukščių takas”.
Būsimiems gyventojams projektas siūlo balansą tarp miesto šurmulio ir gamtos atokvėpio.
Bendra stogo terasa. Unikalia gamtos, dangoraižių ir TV bokšto panorama galėsite mėgautis ir iš bendros stogo terasos. Kai pritūks įkvėpimo, 360° miesto vaizdasJūsų paslaugoms.
Laisvalaikis prie namų. Mėgstantiems sportuoti daugybė galimybių! Sporto klubas - artimiausias kaimynas. Prie pat namų pasivaikščiojimo takai, vedantys link Žvėryno. Už kelių šimtų metrų - SEB sporto arena, futbolo bei ledo arenos. Apsigyvenus čia, pradėsite gyventi aktyviau net patys to nepastebėję!Susisiekimas
Butas bene patogiausioje miesto vietoje, nes iš čia kitų miesto rajonų pakraščiai gali būti pasiekiami per 10 minučių kelionės automobiliu. O kelionė iki miesto centro truks vos 5 minučių.
Didieji prekybos centrai „Akropolis”, „Ozas”, „Panorama” vos už 2 - 4 minučių.Minimalus nuomos terminas - 1 metai, užstato dydis - 1 mėnesio nuomos kaina.Turime daugiau, skirtingų dydžių ir kainų, butų nuomai.";'NoneType' object has no attribute 'text';;https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-ozo-g-nuo-seskines-kalvu-link-zvaigzdziu-stiebiasi-4-1187162/;A;;12.7 µg/m3;20.2 µg/m3;;;;2022_11_13
