url_crawl,Mėn.,Nusikaltimai 500 m spinduliu,periodas,error,scrape_date
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,spalis,2,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,lapkritis,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,gruodis,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,sausis,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,vasaris,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,kovas,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,balandis,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,gegužė,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,birželis,1,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,liepa,4,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,rugpjūtis,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,rugsėjis,3,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,spalis,1,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,lapkritis,1,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,gruodis,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,sausis,5,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,vasaris,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,kovas,0,2020 spalis - 2022 rugsėjis,,2022_10_25
