url_crawl,atstumas_km,istaiga,istaigos_tipas,scrape_date
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Artimiausias darželis,"~ 1,6 km","VšĮ ""Smėlio pilys""",2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Artimiausias darželis,"~ 2,2 km",Vilniaus Santariškių lopšelis-darželis,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Artimiausias darželis,~ 3 km,"Viešoji įstaiga Bajorų vaikų lopšelis-darželis ""Šypsenėlė""",2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Artimiausia mokymo įstaiga,"~ 2,7 km",Vilniaus Santariškių konsultacinis-mokymo centras,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Artimiausia mokymo įstaiga,"~ 3,3 km",Vilniaus r. Riešės šv. Faustinos Kovalskos pagrindinė mokykla,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Artimiausia mokymo įstaiga,"~ 3,8 km",Vilniaus Jeruzalės progimnazija,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Artimiausia parduotuvė,~ 420 m,"„Iki”, Molėtų g. 13-1",2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Artimiausia parduotuvė,~ 770 m,"„Rimi”, „Rimi Molėtų“, Molėtų plentas 49, Vilnius",2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Artimiausia parduotuvė,~ 910 m,"„Norfa”, Molėtų pl. 47b, Vilnius",2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,Viešojo transporto stotelė,~ 440 m,Vanaginės žiedas 26 Didieji Gulbinai–Didžioji Riešė–Santariškės–Kalvarijų–Ozo g. Ozo–Kalvarijų–Santariškės–Didžioji Riešė–Didieji Gulbinai 87 Ateities g.–Molėtų pl.–Riešė–Bendorėliai–Šeškinė Šeškinė–Bendorėliai–Riešė–Molėtų pl.–Ateities g.,2022_10_25
