skelbimo_pavadinimas,Namo numeris:,Plotas:,Kaina mėn.:,Kambarių sk.:,Aukštas:,Aukštų sk.:,Metai:,Pastato tipas:,Šildymas:,Įrengimas:,Nuoroda,Įdėtas,Redaguotas,Aktyvus iki,Įsiminė,Peržiūrėjo,kaina_eur,coordinate_x,coordinate_y,Skelbimą peržiūrėjo (iš viso/šiandien),Skelbimo tekstas,energijos_suvartojimo_klase,Azoto dioksidas (NO2),Kietosios dalelės (KD10),url_crawl,Pastato energijos suvartojimo klasė:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,error_get_energy_consumption_class,error_get_air_polution_data,Buto numeris:,error_get_coordinates,error_get_perziuru_sk,scrape_date
"Vilnius, Senamiestis, Šv. Stepono g., 1 kambario buto nuoma",15,20 m²,450 €,1,1,4,1973,Mūrinis,Centrinis kolektorinis,Įrengtas,www.aruodas.lt/4-1185774,2022-11-01,2022-11-01,2022-11-28,7.0,301/301 (iš viso/šiandien),450,54.67313,25.280273,301/301,"Nuomojami kambariai pačiame centre. Pėsčiomis galėsite pasiekti visus svarbiausius miesto objektus – Traukinių stotis, autobusų stotis, turgaus halė.
Įsikūrus šiame bute nereikės galvoti apie visuomeninį transportą, norint pasivaikščioti pačioje sostinės širdyje, išgerti kavos kavinukėje ar nueiti į kultūrinį renginį miesto centre.Puiki infrastruktūra:Visus miesto rajonus galėsite patogiai pasiekti automobiliu ar visuomeniniu transportu. Butą supanti infrastruktūra pritaikyta visų poreikiams: šalia vaikų darželiai, mokyklos, sporto klubai, sveikatingumo centrai, kultūros objektai ir įvairūs renginiai, viešojo transporto stotelė, prekybos centrai.BŪSTO PRIVALUMAI:
• Kokybiškas įrengimas: patogi dvigulė lova, visi baldai ir buitinė technika.Gyventi čia- tai būti miesto dalimi, su juo susilieti. Ryte stebėti bundantį Vilniaus senamiestį, o vakare, žingsniuojant iš darbo, prisėsti kavinėje ir palydėti dar vieną prabėgusią dieną.
",5 Klasė Vidutinė (4-5),14.8 µg/m3,23 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-stepono-g-nuomojami-kambariai-paciame-centre-pesciomis-4-1185774/,,,,,,,,,,,2022_11_02
"Vilnius, Pašilaičiai, Gabijos g., 2 kambarių buto nuoma",52,47 m²,850 €,2,5,5,2016,Blokinis,Centrinis kolektorinis,Įrengtas,www.aruodas.lt/4-1182476,2022-10-03,2022-10-25,2022-11-17,1.0,995/134 (iš viso/šiandien),850,54.735945,25.227587,995/134,"Nuomojamas įrengtas patogaus ir originalaus plano dviejų kambarių „Premium“ klasės butas naujos statybos name su erdviu balkonu-lodžija. Dideli langai, orientuoti į pietvakarių pusę, suteikia patalpoms daug šviesos ir šilumos.
Svetainė bendroje erdvėje su virtuvės zona. Atskiras miegamasis, prieškambaris ir vonios kambarys.
Patogiam gyvenimui, bute yra baldai, televizorius, visa reikalinga įmontuojama buitinė technika (šaldytuvas, indaplovė, indukcinė kaitlentė, orkaitė, skelbimo mašina - džiovyklė). Virtuvėje yra virdulys, skrudintuvas, indai, stalo įrankiai, puodai ir keptuvės. Lodžija su stogu, sienomis iš trijų pusių ir lauko baldais, leis jaukiai ir ramiai praleisti vakarus su knyga.
Po pastatu įrengtas 35 automobilių stovėjimo vietos. Jos įrengtos požeminės saugyklos dalyje, skirtoje tik gyventojams. 1 parkavimo vietą galima išsinuomoti už papildomą +50 EUR per mėnesį.Pastate įrengtas didesnis negu standartinis liftas, jungiantis gyvenamąsias patalpas su požemine mašinų stovėjimo aikštele. Iš gatvės pusės yra atskiras gerai apšviestas įėjimas gyventojams, kiekviename aukšte – erdvūs vestibiuliai.Šalia pastato yra rekreacinės zonos su sporto aikštynu ir vaikų žaidimo aikštele, kitoje gatvės pusėje – mokyklos stadionas, parkas.
Tik pusės kilometro atstumu yra lengvai pėsčiomis pasiekiami svarbiausi objektai: Gabijos gimnazija, vaikų darželis lopšelis „Gabijėle“, Pašilaičių parkas, prekybos centrai: ""IKI"", „Norfa“, „Maxima“, „BIG“, „Lidl“, „Rimi“. Netoliese yra „Abraomo Kulviečio gimnazija“, „Medeinos pradinė mokykla“, vaikų darželis lopšelis „Vėjelis“.
Nuomoja savininkas.
Nurodyta kaina sudarant mažiausiai dviejų metų sutartį. Trumpesniam laiko tarpui kaina derinama.
Mokamas dviejų mėnesių depozitas, kuris sąžiningai (jei butas nėra sugadintas) grąžinamas sutarties pabaigoje.
Skambinkite ar rašykite, jeigu neatsiliepsiu, būtinai perskambinsiu vėliau.",2 Klasė Gera (1-3),14.1 µg/m3,20.5 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-gabijos-g-nuomojamas-irengtas-patogaus-ir-originalaus-4-1182476/,,,,,,,,,,,2022_11_02
"Vilnius, Pašilaičiai, Perkūnkiemio g., 1 kambario buto nuoma",47,39 m²,450 €,1,3,9,2007,Mūrinis,Centrinis kolektorinis,Įrengtas,www.aruodas.lt/4-1190230,2022-10-31,2022-10-31,2022-11-15,1.0,614/362 (iš viso/šiandien),450,54.736013,25.216284,614/362,"Nuomojamas šviesus, šiltas ir labai ekonomiškas 1,5 kamb. butas. Atskirta virtuvės erdvė nuo kambario. Yra balkonas į pietų pusę. Patogus susisiekimas. Reguliuojama individuali šildymo apskaita.Nuomojamas be tarpininkų.
Tarpininkų prašau neskambinti.",3 Klasė Gera (1-3),14.6 µg/m3,20.9 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-nuomojamas-sviesus-siltas-ir-labai-4-1190230/,,,,,,,,,,,2022_11_02
"Vilnius, Žirmūnai, Žygio g., 1 kambario buto nuoma",1,22 m²,400 €,1,6,9,1970,Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1082537,2022-09-18,2022-10-31,2022-11-17,93.0,10116/279 (iš viso/šiandien),400,54.704237,25.289988,10116/279,"Atremontuotas jaukus butas ilgalaikei nuomai nuo šiandien. 9 Aukštas. Viskas naujai įrengta, nauja buitinė technika, nauji baldai. Po kapitalinio remonto. Buvo naudotas tik 6 mėn - viskas kaip nauja.Į SMS neatsakinėju - skambinkit.",5 Klasė Vidutinė (4-5),16.4 µg/m3,25.7 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zygio-g-atremontuotas-jaukus-butas-ilgalaikei-nuomai-4-1082537/,C,"Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą","Balkonas, Vieta automobiliui","Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Dušo kabina, Vonia","Šarvuotos durys, Kodinė laiptinės spyna",,,,,,2022_11_02
"Vilnius, Senamiestis, Šv. Stepono g., 3 kambarių buto nuoma",21,60 m²,850 €,3,2,6,"1911 statyba, 2003 renovacija",Mūrinis,"Centrinis kolektorinis, kita",Įrengtas,www.aruodas.lt/4-1187444,2022-10-28,2022-10-28,2022-12-03,19.0,731/111 (iš viso/šiandien),850,54.672196,25.279632,731/111,"Nuomojami unikalūs, patogaus išplanavimo, jaukūs ir stilingi apartamentai istoriniame Senamiesčio name Šv. Stepono gatvėje. Butas tinkamas gyventi porai ar šeimai su vaikais, kurie ieško jaukių namų ir orientuojasi į ilgalaikę nuomą.IŠPLANAVIMAS:
– Patogus ir funkcionalus buto išplanavimas: erdvi svetainė sujungta su virtuve ir išėjimu į istoriniais raižiniais išpuoštą balkoną, du atskiri miegamieji kambariai, kuriuose instaliuotos erdvios sieninės spintos, dideli langai suteikiantys butui šviesos ir žinoma - aukštos beveik 3.5 metrų lubos, nepaliekančios abejingų.BENDRA INFORMACIJA
• Bendras buto plotas – 60 kv.m
• Adresas: Šv. Stepono g. 21
• Aukštas – 2 iš 6
• Kambarių skaičius – 3
• Namo tipas – mūrinis
• Šildymas: centrinis, autonominis, su individualia apskaita.PRIVALUMAI:
- Butas nuomojamas su svetainės, miegamojo ir virtuvės baldais bei buitine technika (indaplovė, šaldytuvas su šaldikliu, kaitlentė, orkaitė, skalbimo mašina)
- Įrengimui naudotos tik kokybiškos medžiagos - natūralaus medžio, puoselėjamos ir reguliariai aliejuojamos grindys, dvigubi ir dideli mediniai langai
- Erdvus vonios kambarys su šildomomis grindimis- Aukštos 3.5 m lubos
- Namo sienos itin storos, namuose puikiai išlaikoma šiluma
- Aukšte tik du butai - privatumas ir ramybė garantuoti
- Balkonas orientuotas į Šv. Stepono g.NAMAS IR APLINKA:
- Butas yra 1911 m. statybos Art Nouveau stiliaus name
- Laiptinėje autentiškos detalės, įspūdingos dvivėrės įėjimo į butą durys, liftas, fasado apdaila
- Rakinama namo laiptinė - durys su kodine apsauga
- Tvarkinga ir prižiūrėta namo aplinka
- Draugiška bendruomenė, tvarkingi kaimynaiPARKAVIMAS:
- Galimybė parkuotis prie pat namo ar vidiniame kiemeVIETA:
- Itin patogi vieta: pėsčiomis per kelias minutes pasiekiamas senamiestis, tarpmiestiniai autobusai ir traukiniai, bei nedidelis atstumas iki Oro uosto. Aplink puiki infrastruktūra - restoranai, kepyklėlės, vos už kelių minučių pėsčiomis Senamiestis.NUOMA:
- Nuoma mėnesiui – 850 eur+ komunaliniai mokesčiai
- Tel.: +370 604 74 884
",,15 µg/m3,23.8 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-stepono-g-nuomojami-unikalus-patogaus-isplanavimo-4-1187444/,,,,,,'NoneType' object has no attribute 'text',,,,,2022_11_02
"Vilnius, Baltupiai, Juozo Balčikonio g., 1 kambario buto nuoma",19,36 m²,700 €,1,3,5,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,www.aruodas.lt/4-1006669,2022-10-26,2022-10-31,,200.0,261/54 (iš viso/šiandien),700,54.720888,25.278539,261/54,"ŠIE APARTAMENTAI ATSILAISVINA NUO LAPKRIČIO 17d.
Anksčiausią įsikraustymo datą rasite mūsų tinklalapyje www.liv-in.ltKviečiame rezervuoti apartamentus nuomai didžiausiame CO-LIVING projekte Lietuvoje ir Baltijos šalyse!APARTMENTŲ NUOMA NUO 2 MĖN!SUITE tipo apartamentai:Šie apartamentai pritaikyti gyventi vienam, porai ar draugams. Juose rasite pasirinktinai dvi 90x200 lovas arba dvigulę 160x200 lovą. Virtuvės zonoje būtiniausia buitinė technika – šaldytuvas ir kaitlentė bei baro stalas su kėdėmis. Svetainės zonoje patogi sofa, kavos staliukas, spintelė bei erdvi spinta asmeniniams daiktams laikyti. Visi apartamentai turi balkonus, kuriuose galėsite įkvėpti gryno oro neišeinant iš namų.Į kainą įskaičiuota:- komunalinių mokesčių administravimas,
- wi-fi apartamentuose ir bendrose erdvėse,
- bendrabūvio erdvės (darbo, sporto, poilsio ir pramogų zonos),
- reguliarūs renginiai,
- aktyvi bendruomenė.Į kainą neįskaičiuota:- komunaliniai mokesčiai (145 Eur/mėn);
- papildomas gyventojas (30 Eur/mėn);
- gyvūnas (25 Eur/mėn);
- savitarnos skalbyklos paslaugos;
- kitos papildomos paslaugos (parkingas, sandėliukas, gyvenamos vietos registracija, t.t.).DAUGIAU PASIŪLYMŲ IR REZERVACIJA www.liv-in.ltKilus klausimams, susisiekime:vilnius@liv-in.lt
tel. +370 614 59599",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-baltupiuose-juozo-balcikonio-g-sie-apartamentai-atsilaisvina-nuo-lapkricio-4-1006669/,,"Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais",,,,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Šnipiškės, Kalvarijų g., 1 kambario buto nuoma",142,"15,6 m²",380 €,1,4,5,1968,Blokinis,Centrinis,Įrengtas,www.aruodas.lt/4-1189854,2022-10-29,2022-10-31,2022-12-13,26.0,1073/253 (iš viso/šiandien),380,54.706906,25.282801,1073/253,"Nuomojamas funkcionaliai išplanuotas 1 kambario butas - studija (ne bendrabučio tipo name).Strategiškai patogi vieta, aplink daug prekybos centrų, itin patogus susisiekimas tiek viešuoju transportu, tiek automobiliu visomis Vilniaus miesto kryptimis.
Su buitine technika ir baldais.Buto ypatybės:
- Šildymas: centrinis (nedidelės šildymo kainos).
- Naujai įrengtas butas, dar negyventas.
- Skalbimo mašina - džiovyklė.
- Šviesus ir šiltas butas.
- Bute sumontuoti roletai: diena-naktis.
- Rami kaimynystė.
- Namas stovi atokiau nuo pagrindinių centrinių gatvių.
- Sutvarkyta namo laiptinė.
- Galima su gyvūnais.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-nuomojamas-funkcionaliai-isplanuotas-1-4-1189854/,,"Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais",,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Dušo kabina","Šarvuotos durys, Kodinė laiptinės spyna",'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Pašilaičiai, Ukmergės g., 2 kambarių buto nuoma",,63 m²,650 €,2,5,9,2006,Monolitinis,Dujinis,Įrengtas,www.aruodas.lt/4-1189884,2022-10-29,2022-11-01,2022-12-13,11.0,681/136 (iš viso/šiandien),650,54.73963,25.226943,681/136,"Nuomojamas stilingas, jaukus, šviesus ir saulėtas 2k. butas Pašilaičiuose, Ukmergės g.Vieta - patogi gyventi, lengvai pasiekiama automobiliu ir viešuoju transportu.
Šalia yra mokyklos, darželiai, Maxima, Iki, Rimi, Big, išvažiavimas į Vakarinį aplinkelį ir Ukmergės gatvę, netoli viešojo transporto stotelės.Informacija apie būtą:
- statybos metai 2006, rakinama tvarkinga laiptinė;
- 5 aukštas iš 9, vidurinis, labai šiltas;
- nuomojamas su visais baldais ir buitine technika (skalbymo mašina, šaldytuvas, el.viryklė, orkaitė);
- kondicionierius;
- individuali buto šilumos apskaita, nedideli komunaliniai mokesčiai;
- vonios kambaryje įrengtos šildomos grindys;
- didelis įstiklintas balkonas / lodžija;
- butui priklauso automobilių stovėjimo vieta parkinge prie namo.Nuomos terminas min 12 mėn. Butas nuomojamas be tarpininkų. Pageidautina be gyvūnų.
Nuomos kaina 650 Eur/mėn. + komunalinės paslaugos. Bus imamas 1,5 mėn. depozitas.Skambinkite Jums patogiu metu ir suteiksime daugiau informacijos.
",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-ukmerges-g-nuomojamas-stilingas-jaukus-sviesus-ir-4-1189884/,,"Uždaras kiemas, Virtuvė sujungta su kambariu","Balkonas, Vieta automobiliui","Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia",Šarvuotos durys,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Naujamiestis, Mindaugo g., 1 kambario buto nuoma",15,37 m²,750 €,1,2,5,1968,Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1186742,2022-10-17,2022-11-01,2022-12-01,9.0,575/90 (iš viso/šiandien),750,54.676833,25.273792,575/90,"JAUKUS STUDIO TIPO BUTAS NAUJAMIESTYJE, MINDAUGO GATVĖJE. NĖRA TARPININKAVIMO MOKESČIO.PRIVALUMAI:
- Naujai įrengtas su jaukiu interjeru;
- Vitrininiai langai, balkonas orientuotas į rytų pusę;
- Nuomojama su visais baldais ir buitine technika;
- Miegamojo erdvė su dvigule lova(140cm), bei talpia spinta;
- Visai šalia senamiestis;
- Pageidautina be gyvūnų.BENDRA INFORMACIJA:
- Adresas: Mindaugo g. 15, Naujamiestis/Centras;
- Aukštas: 2 iš 5;
- Nuomojamas su visais baldais ir buitine technika- pilnai įrengta virtuvė su integruota įranga, skalbimo mašina su džiovinimo funkcija;- Parkavimas kieme su šlagbaumu;
- Prie pat MAXIMA XXX;
- Kultūringi ir ramūs kaimynai.VIETA:
- Iki Vokiečių gatvė pėstute 9min(750m);
- Netoliese yra kavinės, vaikų darželis, mokykla, parduotuvės;
- Strategiškai patogi vieta – puikus susisiekimas su visomis Vilniaus vietomis tiek visuomeniniu, tiek ir privačiu transportu;
- Puiki vieta dirbantiems Centre, Naujamiestyje, Senamiestyje.Butas išnuomojamas ilgam laikui (laisvas nuo 10.31). NT agentai - PRAŠAU netrukdyti!P.S. Dirbu pilną dieną, jei neatsiliepiu- būtų malonu, kad parašytumėte žinutę, perskambinsiu kuo greičiau. Ačiū +37066649018
",5 Klasė Vidutinė (4-5),,,https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-jaukus-studio-tipo-butas-naujamiestyje-4-1186742/,,"Aukštos lubos, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu",,"Skalbimo mašina, Su baldais, Šaldytuvas, Viryklė, Indaplovė, Dušo kabina","Šarvuotos durys, Kodinė laiptinės spyna",,'NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Šnipiškės, Giedraičių g., 2 kambarių buto nuoma",56,39 m²,850 €,2,3,6,2022,Mūrinis,Centrinis kolektorinis,Įrengtas,www.aruodas.lt/4-1188424,2022-10-24,2022-10-28,2022-12-08,8.0,429/49 (iš viso/šiandien),850,54.702431,25.279249,429/49,"IŠNUOMOJAMAS NAUJOS STATYBOS 2-JŲKAMBARIŲ BUTAS ŠNIPIŠKĖSE SU STOVĖJIMO VIETA!BUTE DAR NIEKAS NEGYVENO.JŪS BŪSITE PIRMASIS NUOMININKAS!Išnuomojamas naujos statybos, 2-jų kambarių, 39 kv.m. butas Šnipiškėse.- Bute yra atskiras miegamasis, didelė drabužinė, vonios kambarys.
- Butui priklauso 5 kv.m. balkonas. Iš jo galėsite grožėtis Konstitucijos pr. stovinčiais dangoraižiais.- išnuomojamas su visais baldais ir buitine technika.
- Bute yra rekuperacinė sistema.
- Butui priklauso stovėjimo vieta, esanti automobilių stovėjimo aikštelėje po namu. Grįžus vakare, jums nereikės ieškoti vietos kur pasistatyti automobilį.
- Šildymas yra grindinis, reguliuojamas.
- Bute įrengtas video domofonas.
- Labai šiltas ir jaukus butas.
- Puikus susisiekimas su visais Vilniaus mikrorajonais.
- Iki Katedros tik 20 min pėstute.
- Netoli namų yra prekybos centrai, visuomeninio transporto stotelė, visai šalia įsikūrusi jauki vyninė ir picerija.
- Butas nuomojamas be tarpininkų.
- Butas nuomojamas be augintinių.
- Galima gyventi iš karto.Dėl apžiūros ir detalesnės informacijos skambinkite:
Rasa
Tel.: +37066394060
",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-giedraiciu-g-isnuomojamas-4-1188424/,A+,"Aukštos lubos, Virtuvė sujungta su kambariu","Balkonas, Vieta automobiliui, Drabužinė","Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Vonia, Rekuperacinė sistema","Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros",'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,2022_11_02
