skelbimo_pavadinimas,Namo numeris:,Plotas:,Kaina mėn.:,Kambarių sk.:,Aukštas:,Aukštų sk.:,Metai:,Pastato tipas:,Šildymas:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Nuoroda,Įdėtas,Redaguotas,Aktyvus iki,Įsiminė,Peržiūrėjo,kaina_eur,coordinate_x,coordinate_y,Skelbimą peržiūrėjo (iš viso/šiandien),Skelbimo tekstas,energijos_suvartojimo_klase,Azoto dioksidas (NO2),Kietosios dalelės (KD10),url_crawl,error_get_energy_consumption_class,error_get_air_polution_data,error_get_perziuru_sk,Buto numeris:,Pastato energijos suvartojimo klasė:,error_get_coordinates,scrape_date
"Vilnius, Senamiestis, A. Goštauto g., 2 kambarių buto nuoma",4,56 m²,970 €,2,4,5,1960,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, Nauja elektros instaliacija, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu","Vieta automobiliui, Drabužinė","Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Indaplovė, Vonia","Šarvuotos durys, Kodinė laiptinės spyna",www.aruodas.lt/4-1196458,2022-11-24,2022-12-29,2023-01-08,12,1203/61 (iš viso/šiandien),970,54.691028,25.27502,1203/61,"Nuomojamas išskirtinis 2 kambarių naujai suremontuotas, moderniai ir jaukiai įrengtas erdvus butas Vilniaus centre, A. Goštauto gatvėje. Didžiausias buto privalumas – strategiškai patogi lokacija ir nuostabus panoraminis vaizdas pro langus.Butas skoningai įrengtas kokybiškomis medžiagomis, nuomojamas su baldais ir nauja buitine technika. Buto išorės sienos iš vidaus yra papildomai apšildytos, todėl bute žiemą šilta, vasarą gaivu, o dėl vidinių sienų papildomos garso izoliacijos - kaimynų beveik visiškai nesigirdi.
Funkcionalus buto išplanavimas leidžia patogiai judėti erdvėje. Drabužinė, koridoriaus spinta, vonios ir virtuvės baldai yra ne tik funkcionalūs, bet ir talpūs.Įvestas internetas ir televizija.
Galimybė automobilį parkuotis kieme ar gretimoje teritorijoje.BUTO IŠPLANAVIMAS 56 kv. m:
- Erdvi svetainė su virtuve;
- Miegamasis;
- Vonios kambarys ir tualetas kartu;
- Didelė erdvi drabužinė.ĮRENGIMAS:
- stilingas skandinaviško stiliaus modernus įrengimas
- kokybiški baldai
- Visa reikalinga kokybiška nauja buitinė technika (indaplovė, dujinė kaitlentė, orkaitė, šaldytuvas, skalbimo mašina, gartraukis);
- Plastikiniai langai,- šarvo tipo durys.ŠILDYMAS:
- Centrinis,
-iš vidaus apšildytos išorės sienos, garso izoliacija nuo kaimynų,
-šildomos vonios kambario grindys.VIETA:
- Strategiškai patogi vieta, labai patogus susisiekimas viešuoju transportu ir nuosavu automobiliu;
- Rami aplinka, ramūs kaimynai;
- Jaukus namo vidinis kiemas;
-nuostabus vaizdas per svetainės ir virtuvės langus į upės pusę;
-miegamojo langai išeina į ramų vidinį kiemą;
- Gyvenantiems aktyvų kultūrinį gyvenimą pėsčiomis lengvai pasiekiami visi labiausiai lankytini kultūros, istorijos ir meno objektai;
- visos galimybės sportuoti kitąpus upės esančiose sporto aikštelėse, bėgioti paupiu, važinėtis dviračiais (prie laiptinės durų yra įrengtos dviračių parkavimo vietos).Butas šiltas žiemą, vėsus vasarą.
Kadangi butas visiškai naujas, atsiprašome, bet gyvūnų priimti negalime.
Bute bei namo laiptinėje nerūkoma.Kadangi butą nuomoja savininkai, nėra tarpininkavimo mokesčio!",5 Klasė Vidutinė (4-5),14.8 µg/m3,25 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-gostauto-g-nuomojamas-isskirtinis-kambariu-naujai-4-1196458/,,,,,,,2022_12_30
"Vilnius, Karoliniškės, Apolinaro Juozo Povilaičio g., 3 kambarių buto nuoma",12,68 m²,399 €,3,7,9,1977,Blokinis,Centrinis,Įrengtas,,,,,www.aruodas.lt/4-1203030,2022-12-23,2022-12-26,,8,1367/83 (iš viso/šiandien),399,54.696934,25.223191,1367/83,"gera kaina .Nuomojamas triju kambarių butas A.J. Povilaičio gatvėjeDu įstiklinti balkonaiButas laisvasDu izoliuoti kambariai,vienas pereinamasGeras susisiekimasTaikomas tarpininkavimasDaugiau info Marijus@miezis.lt arba 8-683-38595",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-apolinaro-juozo-povilaicio-g-gera-kaina-nuomojamas-triju-kambariu-butas-a-4-1203030/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Pašilaičiai, Girulių g., 2 kambarių buto nuoma",12,63 m²,440 €,2,6,9,2007,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,www.aruodas.lt/4-1203032,2022-12-23,2022-12-26,,15,1971/115 (iš viso/šiandien),440,54.737952,25.216378,1971/115,"Gera kaina.Išuomojamas dveju kambarių butas Girulių gatvėjeButas laisvas nuo 12.28Vienas balkonasMaži komunaliniai mokesčiaiGeras susisiekimas,prekybos centras ir t.t.Daugiau info Marijus@miezis.lt arba 8-683-38595",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-giruliu-g-gera-kainaisuomojamas-dveju-kambariu-butas-4-1203032/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Karoliniškės, Rolando Jankausko g., 2 kambarių buto nuoma",,55 m²,290 €,2,5,9,1973,Blokinis,Centrinis,Įrengtas,"Tualetas ir vonia atskirai, Internetas, Kabelinė televizija",Balkonas,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia",Kodinė laiptinės spyna,www.aruodas.lt/4-1189026,2022-12-06,2022-12-29,,44,3927/253 (iš viso/šiandien),290,54.69116,25.210323,3927/253,"Nuomojamas erdvus (54,7 m2) 2 atskirų kambarių butas Karoliniškėse su visais baldais ir buitinė technika. Yra įstiklintas balkonas. Geras susisiekimas su centro.
Butas išnuomojamas ilgam laikui.
Vienkartinis agentūros mokestis 250 eurų.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-rolando-jankausko-g-nuomojamas-erdvus-m-atskiru-4-1189026/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Grigiškės, Vilniaus g., 2 kambarių buto nuoma",55,45 m²,320 €,2,4,4,1976,Mūrinis,Centrinis,Įrengtas,,Balkonas,"Skalbimo mašina, Su baldais, Šaldytuvas, Viryklė, Vonia",,www.aruodas.lt/4-1202476,2022-12-20,2022-12-30,2023-01-19,5,1444/43 (iš viso/šiandien),320,54.671829,25.096199,1444/43,Isnuomojamas labai jaukus ir sviesus 2 kambariu butas nuo sausio 5.dienos 2023. Salia maxima ir IKI. Netoli autobusu stotele. Salia daug vietu pasivaiksciojimams. Yra balkonas. Menesio kaina 320.- Euru.Prasau rasyti per whatsapp arba skambinti.+37060817300,,12.5 µg/m3,21 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-grigiskese-vilniaus-g-isnuomojamas-labai-jaukus-ir-sviesus-4-1202476/,'NoneType' object has no attribute 'text',,,,,,2022_12_30
"Vilnius, Žirmūnai, M. Katkaus g., 3 kambarių buto nuoma",5,72 m²,800 €,3,4,7,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,www.aruodas.lt/4-1163546,2022-12-02,2022-12-29,2023-01-16,9,1029/30 (iš viso/šiandien),800,54.701402,25.295613,1029/30,"Ilgam laikui išnuomojamas butas. Miegamajame ir vaikų / darbo kambaryje ąžuolo masyvo baldai. Prieškambaryje, virtuvėje, vonioje ir tualete programuojamos šildomos grindys. Svetainėje elektrinis židinys. Virtuvėje įmontuojama buitinė technika. Masažinė vonia. 2 balkonai, vienas 7 kv. m. įstiklintas. Jaukus ir labai šiltas butas. Patogus susisiekimas, šalia Tuskulėnų mokykla ir keli vaikų darželiai. Netoli Iki ir Maxima prekybos centrai.
BUTAS JAU LAISVAS",3 Klasė Gera (1-3),,,https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-m-katkaus-g-ilgam-laikui-isnuomojamas-butas-miegamajame-4-1163546/,,'NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Naujamiestis, Smolensko g., 2 kambarių buto nuoma",12,25 m²,620 €,2,3,4,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, Butas per kelis aukštus, Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais",,"Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai","Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros",www.aruodas.lt/4-1203704,2022-12-29,2022-12-29,,3,246/66 (iš viso/šiandien),620,54.674284,25.257984,246/66,"CHAPTERS co-living – naujas būsto nuomos modelis.
Gyvenk naujai įrengtame bute centrinėje miesto dalyje ir naudokis bendromis laisvalaikio, sporto ir poilsio erdvėmis bei mėgaukis bendruomenės gyvenimu – viskas įskaičiuota į nuomos kainą.APIE PROJEKTĄ „CHAPTERS“
Prie tavo gyvenimo ritmo prisitaikančios gyvenamosios erdvės, įkvėptos pasaulyje sparčiai populiarėjančio būsto nuomos modelio. Tai vienintelis Co-living erdvių projektas centrinėje Vilniaus miesto dalyje. Urban stiliumi įrengti butai su virtuve ir vonios kambariu bei išskirtinės laisvalaikio erdvės, kurios itin patiks aktyviam-crazy-gyvenimo-ištroškusiam TU, o balansą tarp privatumo ir bendruomenės gyvenimo nusistatyk pats.LAISVALAIKIO ERDVĖS (nemokamai)
• Trys atskiros lounge zonos bendrojoje erdvėje
• Poilsio zonos kiekviename aukšte
• Stogo terasa
• Kino salė
• Sporto salė su treniruokliais
• Pirtis su atskiru poilsio kambariu
• Renginių erdvė
• Didžiulė virtuvė ir valgomasis
• Meditacijų kambarys
• Darbo erdvėGYVENAMOSIOS ERDVĖS
• Naujai renovuotame pastate urban stiliumi įrengti nauji butai – būk pirmas gyventojas
• Viskuo už tave pasirūpinta – galvos sukti pačiam nereikės: fiksuoti komunaliniai mokesčiai, skaitliukai nurašomi už tave• Minimalūs įsipareigojimai ir didelis lankstumas – nuomokis tokiam laikui, kokiam nori
• Butai draugiški gyvūnams
• Dalis I-ojo aukšto butų – su terasomisĮ NUOMOS KAINĄ ĮSKAIČIUOTA
• Wi-fi
• Visos laisvalaikio, sporto ir poilsio erdvės
• Dviračių ir paspirtukų saugojimo patalpaBENDRUOMENĖ
• Svarbiausia vertė – bendruomenės vibe'as. Gyvenk ten, kur vyksta veiksmas ir verda gyvenimas
• Bendriems renginiams skirtos erdvės
• Periodiškai organizuojami renginiai bendruomeneiVIETA
• Centrinė miesto dalis
• Maisto prekių parduotuvė, autobusų stotelės, kavinės – vos kelių šimtų metrų spinduliuButo komunaliniai mokesčiai yra fiksuoti – 90 €/mėn.Išsirink savo butą iš kelių galimų spalvų ir tipų pasirinkimų: lofto, buto su terasa, vienviečio ar pritaikyto gyventi dviems.Pasikalbėkime plačiau:info@chapters.ltDaugiau apie projektą sužinok www.chapters.lt
CHAPTERS. VISIEMS TU.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-smolensko-g-chapters-co-living-naujas-busto-nuomos-4-1203704/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Naujamiestis, Smolensko g., 3 kambarių buto nuoma",12,29 m²,890 €,3,3,4,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,"Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais",,"Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai","Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros",www.aruodas.lt/4-1203708,2022-12-29,2022-12-29,,,160/58 (iš viso/šiandien),890,54.674284,25.257984,,"CHAPTERS co-living – naujas būsto nuomos modelis.
Gyvenk naujai įrengtame bute centrinėje miesto dalyje ir naudokis bendromis laisvalaikio, sporto ir poilsio erdvėmis bei mėgaukis bendruomenės gyvenimu – viskas įskaičiuota į nuomos kainą.APIE PROJEKTĄ „CHAPTERS“
Prie tavo gyvenimo ritmo prisitaikančios gyvenamosios erdvės, įkvėptos pasaulyje sparčiai populiarėjančio būsto nuomos modelio. Tai vienintelis Co-living erdvių projektas centrinėje Vilniaus miesto dalyje. Urban stiliumi įrengti butai su virtuve ir vonios kambariu bei išskirtinės laisvalaikio erdvės, kurios itin patiks aktyviam-crazy-gyvenimo-ištroškusiam TU, o balansą tarp privatumo ir bendruomenės gyvenimo nusistatyk pats.LAISVALAIKIO ERDVĖS (nemokamai)
• Trys atskiros lounge zonos bendrojoje erdvėje
• Poilsio zonos kiekviename aukšte
• Stogo terasa
• Kino salė
• Sporto salė su treniruokliais
• Pirtis su atskiru poilsio kambariu
• Renginių erdvė
• Didžiulė virtuvė ir valgomasis
• Meditacijų kambarys
• Darbo erdvėGYVENAMOSIOS ERDVĖS
• Naujai renovuotame pastate urban stiliumi įrengti nauji butai – būk pirmas gyventojas
• Viskuo už tave pasirūpinta – galvos sukti pačiam nereikės: fiksuoti komunaliniai mokesčiai, skaitliukai nurašomi už tave• Minimalūs įsipareigojimai ir didelis lankstumas – nuomokis tokiam laikui, kokiam nori
• Butai draugiški gyvūnams
• Dalis I-ojo aukšto butų – su terasomisĮ NUOMOS KAINĄ ĮSKAIČIUOTA
• Wi-fi
• Visos laisvalaikio, sporto ir poilsio erdvės
• Dviračių ir paspirtukų saugojimo patalpaBENDRUOMENĖ
• Svarbiausia vertė – bendruomenės vibe'as. Gyvenk ten, kur vyksta veiksmas ir verda gyvenimas
• Bendriems renginiams skirtos erdvės
• Periodiškai organizuojami renginiai bendruomeneiVIETA
• Centrinė miesto dalis
• Maisto prekių parduotuvė, autobusų stotelės, kavinės – vos kelių šimtų metrų spinduliuButo komunaliniai mokesčiai yra fiksuoti – 90 €/mėn.Išsirink savo butą iš kelių galimų spalvų ir tipų pasirinkimų: lofto, buto su terasa, vienviečio ar pritaikyto gyventi dviems.Pasikalbėkime plačiau:info@chapters.ltDaugiau apie projektą sužinok www.chapters.lt
CHAPTERS. VISIEMS TU.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-smolensko-g-chapters-co-living-naujas-busto-nuomos-4-1203708/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',list index out of range,,,,2022_12_30
"Vilnius, Antakalnis, Šilo g., 1 kambario buto nuoma",3,"29,08 m²",420 €,1,1,4,1960,Mūrinis,Centrinis,Įrengtas,"Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas",Sandėliukas,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė","Šarvuotos durys, Kodinė laiptinės spyna",www.aruodas.lt/4-398274,2022-12-21,2022-12-30,2023-01-05,19,18096/45 (iš viso/šiandien),420,54.704387,25.311936,18096/45,"Nuo sausio 05 d.
UŽDARAS KIEMAS !!!!
VISADA YRA VIETA AUTOMOBILIUI !!!!PIGIAI. RENOVUOTAS NAMAS.
NAUJI BALDAI, NAUJA BUITINĖ TECHNIKA. Puikus butas su naujais baldais ir nauja buitine technika.
Šalia visuomeninis transportas, poliklinika, parduotuvė, bankas ir t.t. Netoli Saulėtekis ir miesto centras. Greitas susisiekimas su miesto centru.
Jokių automobilių kamščių.Maži komunaliniai mokesčiai.
Nei vasarą, nei žiemą nėra gyvatuko mokesčio (12 EUR).
Butas yra Antakalnio gatvės viduryje. Prie Šilo tilto.Ilgalaikei nuomai. Tai butas Jums.Prie nuotraukų yra vaizdo įrašas.
Be gyvūnų.",3 Klasė Gera (1-3),14.9 µg/m3,21.7 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-silo-g-nuo-sausio-d-uzdaras-kiemas-visada-4-398274/,,,,,,,2022_12_30
"Vilnius, Naujamiestis, Smolensko g., 2 kambarių buto nuoma",10,29 m²,590 €,2,2,4,2022,Mūrinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais",,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai","Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros",www.aruodas.lt/4-1168032,2022-12-27,2022-12-27,,51,524/65 (iš viso/šiandien),590,54.672938,25.258883,524/65,"„Youston“ – loftai ir studijos tiesiai iš plėtotojo.Visi loftai ir studijos įrengti naujai Skandinavišku stiliumi, apžiūrėk ir išsirink labiausiai patinkantį.Nuomos projektas tiesiai iš NT plėtotojo, kad netektų susidurti su dažnai girdimais privačių nuomotojų asmeniškumais. Visi gyvenimiški techniniai rūpesčiai – mūsų reikalas. Gyvensi kaip norisi, niekas nesibels kas mėnesį „nurašyti skaitliukų“ ir nesiraukys dėl naujo mėgiamo paveikslo, kabančio ant sienos. Nuoma be jokių asmeniškumų.Priimam visus ir visokius, taikant visiems suprantamas vienodas demokratiškas taisykles. Augintiniai taip pat mielai laukiami su uodega, ar be jos. Nesikišam į buitį, kas padės nuomojamuose namuose jaustis nuosavuose bei suteikiam tam visas reikalingas priemones ir papildomą pagalbą, kai jos reikia. Tavęs lauks nuomininkų asistentas, o visai neužilgo pabaigsime įrengti pirtį, kino salę ir lounge erdves, kai norėsis pakeisti aplinką ar tiesiog bendravimo.Įsikursi adresu Smolensko g. 10. 11 min automobiliu iki Katedros aikštės, anot „Google maps”. O kiek anot tavęs, priklauso nuo tavęs.Būstai visiškai nauji, skandinaviško stiliaus, svetimų gyvenimo „pėdsakų“ čia nerasi. Pasirinkimas platus: pagal kainą, dydį, aukštą, kryptį ir kitus pageidavimus. Loftų dydžiai nuo 17 iki 71 kv. m, studijų - nuo 13 iki 33 kv. m. Raktus į būstą gausi su visais priklausančiais patogumais, o tuomet jau tavo indėlis jį paversti namais, taip kaip tau atrodo geriausiai. Įsikelti gali jau dabar!Nuoma be asmeniškumų, pagal tavo poreikius.Susisiekim!
, rent@youston.lt",3 Klasė Gera (1-3),,,https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-smolensko-g-youston-loftai-ir-studijos-tiesiai-is-4-1168032/,,'NoneType' object has no attribute 'find_all',,,,,2022_12_30
