url_crawl;skelbimo_pavadinimas;kaina_eur;Plotas:;Kambarių sk.:;Aukštas:;Aukštų sk.:;Metai:;Pastato tipas:;Šildymas:;Įrengimas:;Ypatybės:;Papildomos patalpos:;Papildoma įranga:;Apsauga:;Nuoroda;Įdėtas;Redaguotas;Įsiminė;Peržiūrėjo;error_get_coordinates;Skelbimą peržiūrėjo (iš viso/šiandien);error_get_energy_consumption_class;error_get_air_polution_data;Namo numeris:;coordinate_x;coordinate_y;energijos_suvartojimo_klase;Buto numeris:;Azoto dioksidas (NO2);Kietosios dalelės (KD10);Aktyvus iki;Pastato energijos suvartojimo klasė:;error_get_perziuru_sk;scrape_date
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g--renovuotas-namas-nebrangus-islaikymas-1-3245369/;Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas;129500.0;45 m²;2;3;5;2015;Blokinis;Centrinis;Įrengtas;Nauja kanalizacija, Internetas, Kabelinė televizija;Balkonas, Rūsys, Vieta automobiliui;Plastikiniai vamzdžiai, Dušo kabina;Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/1-3245369;2022-09-01;2022-09-01;21;1258/27 (iš viso/šiandien);list index out of range;1258/27;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;;;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-antakalnyje-parduodamas-erdvus-ir-jaukus-3-1-3247097/;Vilnius, Antakalnis, Antakalnio g., 3 kambarių butas;185000.0;71 m²;3;5;5;1966;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/1-3247097;2022-09-05;2022-09-10;16;532/25 (iš viso/šiandien);;532/25;;'NoneType' object has no attribute 'find_all';94;54.71405;25.314956;4 Klasė Vidutinė (4-5);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-18-os-butu-projektas-mazaaukstes-1-3174428/;Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas;205834.0;53,05 m²;2;1;5;2022;Mūrinis;Geoterminis;Dalinė apdailaNAUDINGA:, Interjero dizaineriai;;Terasa, Vieta automobiliui;;Šarvuotos durys;www.aruodas.lt/1-3174428;2022-01-26;2022-08-29;15;2166/13 (iš viso/šiandien);;2166/13;'NoneType' object has no attribute 'text';;26;54.698566;25.30775;;1;15.2 µg/m3;22 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-18-os-butu-projektas-mazaaukstes-1-3238072/;Vilnius, Antakalnis, Antakalnio g., 3 kambarių butas;272630.0;68,5 m²;3;2;5;2022;Mūrinis;Geoterminis;Dalinė apdailaNAUDINGA:, Interjero dizaineriai;;Terasa, Vieta automobiliui;;Šarvuotos durys;www.aruodas.lt/1-3238072;2022-08-10;2022-08-29;15;1406/15 (iš viso/šiandien);;1406/15;'NoneType' object has no attribute 'text';;26;54.698566;25.30775;;5;15.2 µg/m3;22 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-18-os-butu-projektas-mazaaukstes-1-3238074/;Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas;205835.0;53,05 m²;2;1;5;2022;Mūrinis;Geoterminis;Dalinė apdailaNAUDINGA:, Interjero dizaineriai;;Terasa, Vieta automobiliui;;Šarvuotos durys;www.aruodas.lt/1-3238074;2022-08-10;2022-09-12;16;888/14 (iš viso/šiandien);;888/14;'NoneType' object has no attribute 'text';;26;54.698566;25.30775;;1;15.2 µg/m3;22 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-2-kambariu-butas-antakalnyje-1-3241126/;Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas;149500.0;50,63 m²;2;4;5;1965;Mūrinis;Centrinis kolektorinis;NeįrengtasNAUDINGA:, Interjero dizaineriai;Uždaras kiemas, Tualetas ir vonia atskirai, Nauja kanalizacija;Sandėliukas, Vieta automobiliui, Balkonas, Rūsys;;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3241126;2022-08-09;2022-08-25;11;969/4 (iš viso/šiandien);;969/4;;'NoneType' object has no attribute 'find_all';93;54.718848;25.317718;4 Klasė Vidutinė (4-5);;;;2022-10-18;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-2-kambariu-butas-zaliausiame-1-3240452/;Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas;109000.0;41,4 m²;2;1;5;1963;Mūrinis;Centrinis;Įrengtas;;Rūsys, Drabužinė;Skalbimo mašina, Su baldais;;www.aruodas.lt/1-3240452;2022-08-17;2022-09-13;32;1479/7 (iš viso/šiandien);;1479/7;;'NoneType' object has no attribute 'find_all';;54.707066;25.310769;5 Klasė Vidutinė (4-5);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-2k-butas-antakalnio-g-su-1-3246421/;Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas;137000.0;43 m²;2;3;3;1964;Mūrinis;Centrinis kolektorinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu;Sandėliukas, Balkonas, Rūsys, Vieta automobiliui, Drabužinė;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Dušo kabina, Vonia;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3246421;2022-09-04;2022-09-13;19;683/5 (iš viso/šiandien);;683/5;;'NoneType' object has no attribute 'find_all';;54.717839;25.317522;6 Klasė Bloga (6-8);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-3-izoliuotu-kambariu-butas-su-1-3228318/;Vilnius, Antakalnis, Antakalnio g., 3 kambarių butas;195000.0;64,77 m²;3;2;5;1965;Mūrinis;Centrinis;Įrengtas;Nauja elektros instaliacija, Internetas;Sandėliukas, Balkonas, Rūsys, Vieta automobiliui;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Dušo kabina;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3228318;2022-07-12;2022-07-28;12;2039/7 (iš viso/šiandien);;liep-39;;'NoneType' object has no attribute 'find_all';93;54.718848;25.317718;4 Klasė Vidutinė (4-5);13;;;2022-10-10;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-butas-be-dalines-apdailos-1-3246947/;Vilnius, Antakalnis, Antakalnio g., 3 kambarių butas;269000.0;69,7 m²;3;3;5;2022;Mūrinis;Centrinis kolektorinis;NeįrengtasNAUDINGA:, Interjero dizaineriai;Internetas, Kabelinė televizija;Balkonas;Šildomos grindys, Rekuperacinė sistema;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3246947;2022-09-05;2022-09-05;2;361/2 (iš viso/šiandien);;361/2;'NoneType' object has no attribute 'text';;26;54.698566;25.30775;;;15.2 µg/m3;22 µg/m3;;A+;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-erdvus-ir-sviesus-2-kambariu-1-3244357/;Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas;148000.0;46,3 m²;2;1;5;1968;Mūrinis;Centrinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu;Balkonas, Rūsys, Vieta automobiliui;Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Indaplovė, Dušo kabina;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3244357;2022-08-29;2022-09-02;23;1260/6 (iš viso/šiandien);;1260/6;;;35;54.703238;25.310346;4 Klasė Vidutinė (4-5);;15.1 µg/m3;21.8 µg/m3;2022-10-28;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-erdvus-sesiu-kamabariu-butas-1-3098155/;Vilnius, Antakalnis, Antakalnio g., 6 kambarių butas;260000.0;136,69 m²;6;4;5;1961;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/1-3098155;2022-08-03;2022-09-01;130;1333/4 (iš viso/šiandien);;1333/4;;'NoneType' object has no attribute 'find_all';49;54.706955;25.312378;5 Klasė Vidutinė (4-5);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-jaukus-65-kv-m-funkcionalaus-1-3226228/;Vilnius, Antakalnis, Antakalnio g., 4 kambarių butas;160000.0;65 m²;4;3;5;1964;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/1-3226228;2022-09-01;2022-09-01;6;438/3 (iš viso/šiandien);;438/3;;'NoneType' object has no attribute 'find_all';87;54.717395;25.317147;5 Klasė Vidutinė (4-5);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-moderniai-irengtas-2-kambariu-1-3243707/;Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas;142000.0;43 m²;2;2;5;1962;Mūrinis;Centrinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu;Balkonas;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Dušo kabina;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3243707;2022-08-29;2022-09-09;25;2065/30 (iš viso/šiandien);;2065/30;;'NoneType' object has no attribute 'find_all';85;54.716928;25.317062;5 Klasė Vidutinė (4-5);;;;2022-09-28;G;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-sviesus-erdvus-1-kambario-1-3249363/;Vilnius, Antakalnis, Antakalnio g., 1 kambario butas;105000.0;27,63 m²;1;7;9;1968 statyba, 2020 renovacija;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/1-3249363;2022-09-12;2022-09-14;8;319/8 (iš viso/šiandien);;319/8;;;96;54.714655;25.314952;5 Klasė Vidutinė (4-5);;14.6 µg/m3;21.1 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-tvarkingas-dvieju-kambariu-butas-1-3244583/;Vilnius, Antakalnis, Antakalnio g., 2 kambarių butas;107000.0;41 m²;2;2;5;1966;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/1-3244583;2022-08-30;2022-09-05;38;1173/11 (iš viso/šiandien);;1173/11;;;;54.711965;25.315285;4 Klasė Vidutinė (4-5);;14.4 µg/m3;20.9 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamos-erdvios-patalpos-vilniaus-centre-1-3248959/;Vilnius, Antakalnis, Antakalnio g., 5 kambarių butas;280000.0;148 m²;5;1;5;1966;Kita;Centrinis;Įrengtas;Atskiras įėjimas;;;;www.aruodas.lt/1-3248959;2022-09-10;2022-09-10;5;438/7 (iš viso/šiandien);;438/7;;;51;54.707618;25.312839;4 Klasė Vidutinė (4-5);;14.7 µg/m3;21.3 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-viename-perspektyviausiu-vilniaus-miesto-1-3222738/;Vilnius, Antakalnis, Antakalnio g., 3 kambarių butas;130000.0;51 m²;3;4;5;1963;Mūrinis;Centrinis;Įrengtas;Internetas, Kabelinė televizija;Sandėliukas, Balkonas, Rūsys;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Dušo kabina;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/1-3222738;2022-09-06;2022-09-06;46;643/3 (iš viso/šiandien);;643/3;;'NoneType' object has no attribute 'find_all';67;54.713168;25.316127;6 Klasė Bloga (6-8);;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-vilniuje-antakalnio-gatveje-pirmame-1-3246317/;Vilnius, Antakalnis, Antakalnio g., 3 kambarių butas;115000.0;71,52 m²;3;1;5;1964;Blokinis;Centrinis;Įrengtas;Atskiras įėjimas, Aukštos lubos, Virtuvė sujungta su kambariu;Terasa, Rūsys;;Šarvuotos durys;www.aruodas.lt/1-3246317;2022-09-04;2022-09-04;50;1577/21 (iš viso/šiandien);;1577/21;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.696764;25.308621;;;;;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-vilniuje-antakalnyje-antakalnio-g-55-1-3248417/;Vilnius, Antakalnis, Antakalnio g., 4 kambarių butas;171000.0;70,3 m²;4;3;5;1965;Mūrinis;Centrinis;Įrengtas;Internetas, Kabelinė televizija;Balkonas, Rūsys;Vonia;Šarvuotos durys;www.aruodas.lt/1-3248417;2022-09-08;2022-09-08;14;467/3 (iš viso/šiandien);;467/3;;;55;54.708365;25.313363;4 Klasė Vidutinė (4-5);;15 µg/m3;21.8 µg/m3;;;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-b-sruogos-g-stilingas-ir-erdvus-5-kambariu-butas-isikures-1-3241512/;Vilnius, Antakalnis, B. Sruogos g., 5 kambarių butas;475000.0;158 m²;5;1;4;2001;Mūrinis;Dujinis;Įrengtas;Atskiras įėjimas, Uždaras kiemas, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu;Sandėliukas, Terasa, Vieta automobiliui, Drabužinė;Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Dušo kabina, Vonia;Signalizacija;www.aruodas.lt/1-3241512;2022-08-22;2022-09-01;11;792/2 (iš viso/šiandien);;792/2;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';6;54.721082;25.320374;;;;;2022-10-21;A;;14_09_2022
https://www.aruodas.lt/butai-vilniuje-antakalnyje-balzio-g-parduodamas-labai-stilingas-ir-pilnai-1-3241922/;Vilnius, Antakalnis, Balžio g., 5 kambarių butas;325000.0;115,44 m²;5;1;3;2021 statyba, 2021 renovacija;Mūrinis;Kita, aeroterminis, dujinis, centrinis kolektorinis;Įrengtas;Uždaras kiemas, Internetas, Aukštos lubos, Butas per kelis aukštus, Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu, Kabelinė televizija;Balkonas, Vieta automobiliui, Terasa, Drabužinė;Su baldais, Skalbimo mašina, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Dušo kabina, Vonia;Šarvuotos durys, Signalizacija, Kodinė laiptinės spyna;www.aruodas.lt/1-3241922;2022-08-22;2022-08-22;14;1428/5 (iš viso/šiandien);;1428/5;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';;54.792344;25.429007;;;;;;;;14_09_2022
