url_crawl,skelbimo_pavadinimas,kaina_eur,Namo numeris:,Plotas:,Kaina mėn.:,Kambarių sk.:,Aukštas:,Aukštų sk.:,Metai:,Pastato tipas:,Šildymas:,Įrengimas:,Nuoroda,Įdėtas,Redaguotas,Aktyvus iki,Įsiminė,Peržiūrėjo,coordinate_x,coordinate_y,Skelbimą peržiūrėjo (iš viso/šiandien),energijos_suvartojimo_klase,error_get_air_polution_data,Skelbimo tekstas,Ypatybės:,Papildoma įranga:,Apsauga:,error_get_energy_consumption_class,Papildomos patalpos:,Azoto dioksidas (NO2),Kietosios dalelės (KD10),error_get_coordinates,Pastato energijos suvartojimo klasė:
https://www.aruodas.lt/butu-nuoma-vilniuje-baltupiuose-kalvariju-g-nuomojasi-1-kambario-butaslabai-patogi-vieta-4-1184084/,"Vilnius, Baltupiai, Kalvarijų g., 1 kambario buto nuoma",300.0,157,21 m²,300 €,1,9,9,1985,Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1184084,2022-10-08,2022-10-08,2022-10-23,17,675/283 (iš viso/šiandien),54.723304,25.285474,675/283,6 Klasė Bloga (6-8),'NoneType' object has no attribute 'find_all',"Nuomojasi 1 kambario butas.Labai patogi vieta,netoli J.Kazlausko stotelė ir didelė parduotuvė Norfa. Kaina 300e plius depozitas",,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-naujojoje-vilnioje-pramones-g-isnuomuojamas-jaukus-butukas-naujojoje-4-1148734/,"Vilnius, Naujoji Vilnia, Pramonės g., 1 kambario buto nuoma",250.0,97,20 m²,250 €,1,3,8,1980,Blokinis,Dujinis,Įrengtas,www.aruodas.lt/4-1148734,2022-09-30,2022-10-09,2022-12-11,106,1163/133 (iš viso/šiandien),54.695362,25.428853,1163/133,,'NoneType' object has no attribute 'find_all',"Išnuomuojamas jaukus butukas Naujojoje Vilnioje. Šalia sporto klubas, prekybos centrai. Pirmame aukšte įsikūrusi kavinė, kurioje galėsite, bet kada pavalgyti. Netoli, kitoje Vilnelės pusėje, parkas.-geras susisiekimas
-nemokamas parkingas
-internetas
-plastikiniai langaitrumpiausias nuomos laikotarpis 2mėn.",Virtuvė sujungta su kambariu,"Skalbimo mašina, Su baldais, Šaldytuvas, Viryklė",Šarvuotos durys,'NoneType' object has no attribute 'text',,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-rolando-jankausko-g-nuomoju-kambari-dvieju-kambariu-bute-kitame-4-1184132/,"Vilnius, Karoliniškės, Rolando Jankausko g., kambario nuoma",200.0,3,47 m²,200 €,1,12,12,1975,Blokinis,Centrinis,Įrengtas,www.aruodas.lt/4-1184132,2022-10-08,2022-10-08,2022-11-22,6,545/291 (iš viso/šiandien),54.690574,25.210067,545/291,,'NoneType' object has no attribute 'find_all',Nuomoju kambarį dviejų kambarių bute. Kitame kambaryje gyvena šeimininkė(dažnai išvažiuoja į sodus). Visi reikalingi baldai ir patogumai yra. Kaina nurodyta su komunalinėm,Buto dalis,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Dušo kabina, Vonia",,'NoneType' object has no attribute 'text',Balkonas,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-tolminkiemio-g-isnuomojamas-3-kambariai-3-kambariu-butebe-4-1183928/,"Vilnius, Pilaitė, Tolminkiemio g., kambario nuoma",250.0,3,20 m²,250 €,1,4,5,1993,Monolitinis,Centrinis,Įrengtas,www.aruodas.lt/4-1183928,2022-10-07,2022-10-07,2022-11-21,4,927/234 (iš viso/šiandien),54.703361,25.178999,927/234,4 Klasė Vidutinė (4-5),'NoneType' object has no attribute 'find_all',"Išnuomojamas 3 kambariai 3 kambarių bute,be šeimininkų po remonto Pilaitės, Tolminkiemio g. Nuomojamas su visais baldais ir buitine technika, kambariej rakinamos.
Nuomojamas skaidriai su sutartimi.
Butas randasi strategiškai labai geroje vietoje, šalia miškas, ežeras iki ežero apie700m, daug įvairių parduotuvių.
Viešoji transporto stotelė prie pat namo, puikus susisiekimas su visais miesto rajonais. Šalia namo yra trys nemokami stovėjimo aikštelės, vietą automobiliui visada rasite.
Šarvuotos durys, plastikiniai langai du balkonai, tualetas ir vonia atskirai,greitas internetas.
1 kambarys 20kv persikų spalvos vienam žmogui 250eu+450eur depozitas.
1 kambarys 20kv. violetinės spalvos vienam žmogui 250eur, dviem 300eur depozitas 450eur.
1 kambarys 14kv žalios spalvos vienam žmogui 250eur+450eur. depozitas.
Išnuomojamas dar 2 atskiri kambariai 4 kambarių bute Fabijoniškėse.
1 kambarys 15kv. 220eur+430eur depozitas.
1 kambarys 12kv.220eur+430eur depozitas.
Depozitas bus įskaičiuota į nuoma pasibaigus nuomai,skirtumas bus grąžintas.
Nuomojamas iki01.07.2023.su galimybe pratęsti. Kambariai labai šilti.
Nedideli komunalinės mokestį, todėl kad dalinosi ant visų.
Nuomojamas dirbančiam žmogui be žalingų įpročių.
Be tarpininkų.
Nėra agentūros mokestį.
Be šeimininkų.
Be gyvūnų.
Visa informacija ir bendravimas tik telefonu.
Angliškai ne kalbų.","Tualetas ir vonia atskirai, Internetas",,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-balsiuose-kryzioku-sodu-2-oji-g-pigi-buto-kambariu-nuoma-darbuotojams-ar-4-1135342/,"Vilnius, Balsiai, Kryžiokų Sodų 2-oji g., kambario nuoma 5 kambarių bute",150.0,,200 m²,150 €,5,3,3,1998,Mūrinis,"Dujinis, kietu kuru",Įrengtas,www.aruodas.lt/4-1135342,2022-03-06,2022-10-08,2022-11-19,8,5364/90 (iš viso/šiandien),54.791961,25.353939,5364/90,,'NoneType' object has no attribute 'find_all',"Pigi buto, kambarių nuoma darbuotojams ar įmonėmsNuomojami 4 vietų kambariai 3-4 studentams, darbuotojų brigadoms ar įmonėms privačiame name ilgesniam laikotarpiui:1. 3 aukšte su atskiru tualetu, dušu, skalbykle ir bendra virtuve.
2. 2 aukšte su bendru tualetu, dušu, skalbykle, virtuve.3. Greitu metu atsiras dar 4 vietos pusrusio aukšte su atskiru tualetu, dušu, skalbykle ir atskira virtuve.Kaina žmogui 150/mėn. su komunalinėmisp.s. pavieniams asmenims nenuomojame!Сдаются 4-х местные комнаты для 3-4 студентов, коллективов сотрудников или компаний в частном доме на более длительный срок:
1. На 3 этаже с отдельным туалетом, душем, прачечной и общей кухней.
2. На 2 этаже с общим туалетом, душем, прачечной, кухней.
3. В ближайшее время на антресольном этаже появятся еще 4 места с отдельным туалетом, душем, прачечной и отдельной кухней.
Цена на человека 150р/мес. с коммунальными услугами
p.s. мы не сдаем в аренду частным лицам!4-bed rooms for rent for 3-4 students, teams of employees or companies in a private house for a longer period:
1. On the 3rd floor with separate toilet, shower, laundry room and shared kitchen.
2. On the 2nd floor with shared toilet, shower, laundry room, kitchen.
3. Soon there will be 4 more places on the half basement floor with separate toilet, shower, laundry room and separate kitchen.
The price per person is 150/month. with utilities
p.s. we do not rent to seperate person!
",,,,'NoneType' object has no attribute 'text',,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zygio-g-4-1016629/,"Vilnius, Žirmūnai, Žygio g., 1 kambario buto nuoma",300.0,1,30 m²,300 €,1,7,9,1970,Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1016629,2022-10-03,2022-10-06,,45,13612/25 (iš viso/šiandien),54.704237,25.289988,13612/25,5 Klasė Vidutinė (4-5),,"
",,"Skalbimo mašina, Viryklė, Vonia",Šarvuotos durys,,Balkonas,16.4 µg/m3,25.7 µg/m3,,
https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-l-giros-g-isnuomojamas-vienasdidysis-apie-15-kvm-4-1166864/,"Vilnius, Fabijoniškės, L. Giros g., kambario nuoma",150.0,92,30 m²,150 €,1,7,9,1990,Blokinis,Centrinis,Įrengtas,www.aruodas.lt/4-1166864,2022-08-16,2022-10-03,,13,2971/85 (iš viso/šiandien),54.738328,25.241511,2971/85,5 Klasė Vidutinė (4-5),'NoneType' object has no attribute 'find_all',"Išnuomojamas vienas(didysis) apie 15 kv.m. kambarys su balkonu trijų kambarių bute. Kambariui reikėtų perdažyti sienas. Kituose dviejuose kambariuose gyvena 5 asmenų šeima. Kambaryje gali gyventi ir keli asmenys, taip pat turintys gyvūną. Mėgstantiems tvarka butas netiks. Platesnė info telefonu.
",,,,,,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-s-staneviciaus-g-atsilaisvino-kambarys-merginai-fabijoniskese-4-1182136/,"Vilnius, Fabijoniškės, S. Stanevičiaus g., kambario nuoma",180.0,52,20 m²,180 €,1,2,16,1994,Monolitinis,Centrinis,Įrengtas,www.aruodas.lt/4-1182136,2022-10-02,2022-10-02,2022-11-16,15,2657/189 (iš viso/šiandien),54.725032,25.253168,2657/189,4 Klasė Vidutinė (4-5),,"Atsilaisvino kambarys MERGINAI Fabijoniškėse Stanevičiaus g. 52 erdviame 4 kambarių bute! Be tarpininkų – NĖRA jokio agentūros mokesčio! BE ŠEIMININKŲ! Kambariai nuomojami skaidriai su sutartimi - įmokos mokamos pavedimais. Kituose kambariuose gyvena 3 merginos, todėl ieškome taip pat merginos.Yra šviesolaidinis internetas, Wi-Fi. Visa buitinė technika: skalbimo mašina, integruota indaplovė, kaitlentė, orkaite, gartraukis, talpus šaldytuvas, mikrobangų krosnelė, el. virdulys, dulkių siurblys.Erdvi virtuvė, praplėsta prijungus balkoną. Plastikiniai langai, dvejos šarvuotos durys, rakinama laiptinė su telefonspyne. Namo kiemą stebi apsaugos kameros. Prie namo yra nemokama aikštelė automobilių parkavimui. Visai neseniai namas atnaujintas - pakeisti visi laiptinės langai ir durys.Tualetas ir vonia atskirai. Bute yra tamsus kambariukas – sandėliukas, kuriame sumontuota skalbimo mašina ir lentynos daiktams laikyti. Taip pat yra atskira rakinama patalpa dviračių laikymui su sumontuotais dviračių laikikliais ant sienos. Koridoriuje yra talpi sieninė spinta.Butas puikioje vietoje. Prie pat yra Vilniaus kolegija – 600 m., Vilniaus, Mykolo Riomerio universitetas – 1 km.
Prie pat namo viešojo transporto stotelės.Nuomos kainos:
1 Kambarys 19 kv.m. su pilka sofa lova – 190 € (UŽIMTAS)
2 Kambarys 13 kv.m. šviesus – 190 € (UŽIMTAS)
3 Kambarys 10,6 kv.m. rusvas – 180 € (LAISVAS)
4 Kambarys 14,7 kv.m. su veidrodine spinta – 190 € (UŽIMTAS)Reikalavimai nuomininkui: kambarys nuomojamas merginai, be naminių gyvūnų.
Tel +37066808930",Internetas,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Indaplovė, Dušo kabina","Šarvuotos durys, Vaizdo kameros",,,11.5 µg/m3,20 µg/m3,,
https://www.aruodas.lt/butu-nuoma-vilniuje-naujojoje-vilnioje-pramones-g-kambariu-lovu-nuoma-vieno-zmogaus-4-1179221/,"Vilnius, Naujoji Vilnia, Pramonės g., kambario nuoma 9 kambarių bute",130.0,97,500 m²,130 €,9,3,4,1967,Mūrinis,Elektra,Įrengtas,www.aruodas.lt/4-1179221,2022-09-21,2022-09-22,2022-11-05,5,873/20 (iš viso/šiandien),54.695362,25.428853,873/20,,'NoneType' object has no attribute 'find_all',"Kambariu, lovu nuomaVieno žmogaus apgyvendinimas su visais patogumais 130Eur/mėn. Bendrabučio tipo patalpos Naujoje Vilnioje.Проживание на одного человека со всеми удобствами 130 евро/мес. Помещения общежития в Новом Вильнюсе.",,,,'NoneType' object has no attribute 'text',,,,,
https://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-filaretu-g--rezervuotas-iki-spalio-15-dienos-4-1183664/,"Vilnius, Užupis, Filaretų g., kambario nuoma",290.0,54,26 m²,290 €,1,2,2,"1990 statyba, 2009 renovacija",Mūrinis,Centrinis kolektorinis,Įrengtas,www.aruodas.lt/4-1183664,2022-10-06,2022-10-08,,11,1039/116 (iš viso/šiandien),54.68685,25.316471,1039/116,,'NoneType' object has no attribute 'find_all',"==== rezervuotas iki spalio 15 dienos =======1-vienas kambarys ( 26kvm ) 3-ijų kambarių bute prestižiniame Antakalnio - Uzupio mikrarajone , Filaretų g 54 , šalia Pavilnio regioninio parko.290 eur -mėn.
Atsilaisvina spalio 10d.
Nuomojamas vienam asmeniui ( moteriai, merginai )
Kituose kambariuose gyvena ramios nuomininkės-merginos.
visa info . tel +37065776846kambaryje yra lova 140-200cm, spintos, komodos, stalas, kėdės, roletai, užuolaidos, pastatoma lempa.Internetas +buitinių atliekų išvežimas+kitos paslaugos = 5€ mėn.
1/3 komunalinių mokesčių. Komunaliniai mokesčiai visai nedideli (vasara 15-20€ mėn. žiema 35-45€ mėn.)BENDRA INFORMACIJA
Viso Buto plotas 90 kv.m. .
2 aukštas iš 2 -Namas rekonstruotas 2009m
Įregtas šildymas - dujinis autonominis
Balkonas 15 kv.m
virtuve 25 kv.m.
drabuzine 10 kv.m
2 Wc 10 kv.mŠalia namo yra vietos automobiliui -nemokamas parkavimas. -Pietinė pusė
Su baldais. Yra dujinė,orkaitė, šaldytuvas, mikrobangė, skalbimo mašina, Yra Telia šviesolaidinis internetas.
Išplanavimas: Virtuve atskira 3 kambariai izoliuoti 2 Vonios kambariai su tualetu. Balkonas 15 kvm. Erdvus koridorius su spintomis.VIETA, SUSISIEKIMAS
– Asfaltuotas privažiavimas
– Rami vieta
– Solidi ir saugi kaimynystė
– 400-700m. iki parduotuvės Aibė-Rimi
– Tyluma pušynų apsuptyje ir grynas oras
– Namas ramioje vietoje
– Susisiekimas patogus tiek viešuoju, tiek nuosavu transportu su bet kuria miesto dalimi
– Viešojo transporto stotelę pasieksite per keletą min.Sąlygos: - NĖRA TARPININKAVIMO MOKESČIŲ! - IMAMAS 400 eur, UŽSTATAS, KURIS GRĄŽINAMAS SUTARTIES TERMINO PABAIGOJE.",,,,'NoneType' object has no attribute 'text',,,,,
