url_crawl,atstumas_km,istaiga,istaigos_tipas
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.24,"UAB mokykla ""Užupynė""",Artimiausias darželis
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.56,"Vilniaus lopšelis-darželis ""Rasa""",Artimiausias darželis
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.25,Viešoji įstaiga Tarptautinė Amerikos mokykla Vilniuje,Artimiausia mokymo įstaiga
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.46,Vilniaus Užupio gimnazija,Artimiausia mokymo įstaiga
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.55,Vilniaus Petro Vileišio progimnazija,Artimiausia mokymo įstaiga
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.25,"„Rimi”, „Rimi Paupys“, Aukštaičių g. 7 / Paupio g. 26, Vilnius",Artimiausia parduotuvė
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.42,"„Iki”, Užupio g. 7",Artimiausia parduotuvė
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.63,"„Lidl”, Rasų g. 9 A, Vilnius",Artimiausia parduotuvė
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.24,Subačiaus st.  10 Markučiai–Baltupiai–Fabijoniškės  Fabijoniškės–Baltupiai–Markučiai  11 Užupis–Senamiestis–Žvėrynas  13 Žemasis Pavilnys–Markučiai–Stotis–Vilkpėdė  Vilkpėdė–Stotis–Markučiai–Žemasis Pavilnys  33 Guriai–Sukilėlių–Rinktinės g.–Šiaurės miestelis  Guriai–Kalnėnai–Sukilėlių–Rinktinės g.–Šiaurės miestelis  Šiaurės miestelis–Rinktinės–Sukilėlių g.–Guriai  Šiaurės miestelis–Rinktinės–Sukilėlių g.–Kalnėnai–Guriai  34 Visoriai–Jeruzalės g –Baltupiai–Olandų g.–Stotis  Visoriai–Jeruzalės g.–Baltupiai–Olandų g.–Stotis  Stotis–Olandų g.–Baltupiai–Jeruzalės g.–Visoriai  74 Parko–Subačiaus g.–Stotis  Stotis–Subačiaus–Parko g.  89 Stotis–Rasų g.–Senamiestis–Nepriklausomybės aikštė  Nepriklausomybės aikštė–Senamiestis–Rasų g.–Stotis,Viešojo transporto stotelė
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.25,Užupis  11 Žvėrynas–Senamiestis–Užupis,Viešojo transporto stotelė
https://www.aruodas.lt/butai-vilniuje-paupyje-aukstaiciu-g-parduodamas-5-kambariu-butas-su-erdvia-terasa-1-3256794/,0.33,Misionierių st.  11 Užupis–Senamiestis–Žvėrynas  13 Vilkpėdė–Stotis–Markučiai–Žemasis Pavilnys  Žemasis Pavilnys–Markučiai–Stotis–Vilkpėdė  34 Stotis–Olandų g.–Baltupiai–Jeruzalės g.–Visoriai  Visoriai–Jeruzalės g –Baltupiai–Olandų g.–Stotis  Visoriai–Jeruzalės g.–Baltupiai–Olandų g.–Stotis  74 Stotis–Subačiaus–Parko g.  Parko–Subačiaus g.–Stotis,Viešojo transporto stotelė
https://www.aruodas.lt/butai-vilniuje-senamiestyje-siauliu-g-unikali-galimybe-gyventi-pacioje-senamiescio-1-3236508/,0.13,"Vilniaus lopšelis-darželis ""Krivūlė""",Artimiausias darželis
https://www.aruodas.lt/butai-vilniuje-senamiestyje-siauliu-g-unikali-galimybe-gyventi-pacioje-senamiescio-1-3236508/,0.34,"Vilniaus lopšelis-darželis ""Gudrutis""",Artimiausias darželis
https://www.aruodas.lt/butai-vilniuje-senamiestyje-siauliu-g-unikali-galimybe-gyventi-pacioje-senamiescio-1-3236508/,0.43,"Vilniaus lopšelis-darželis ""Gėlynas""",Artimiausias darželis
https://www.aruodas.lt/butai-vilniuje-senamiestyje-siauliu-g-unikali-galimybe-gyventi-pacioje-senamiescio-1-3236508/,0.21,"""Graičiūno aukštoji vadybos mokykla"", UAB",Artimiausia mokymo įstaiga
https://www.aruodas.lt/butai-vilniuje-senamiestyje-siauliu-g-unikali-galimybe-gyventi-pacioje-senamiescio-1-3236508/,0.35,Vilniaus Juozo Tallat-Kelpšos konservatorija,Artimiausia mokymo įstaiga
https://www.aruodas.lt/butai-vilniuje-senamiestyje-siauliu-g-unikali-galimybe-gyventi-pacioje-senamiescio-1-3236508/,0.38,Vilniaus Salomėjos Nėries gimnazija,Artimiausia mokymo įstaiga
https://www.aruodas.lt/butai-vilniuje-senamiestyje-siauliu-g-unikali-galimybe-gyventi-pacioje-senamiescio-1-3236508/,0.19,"„Aibė”, Pylimo g. 32, Vilnius, Vilniaus m. sav.",Artimiausia parduotuvė
https://www.aruodas.lt/butai-vilniuje-senamiestyje-siauliu-g-unikali-galimybe-gyventi-pacioje-senamiescio-1-3236508/,0.25,"„Aibė”, Pylimo g. 45, Vilnius, Vilniaus m. sav.",Artimiausia parduotuvė
https://www.aruodas.lt/butai-vilniuje-senamiestyje-siauliu-g-unikali-galimybe-gyventi-pacioje-senamiescio-1-3236508/,0.28,"„Iki”, Vokiečių g. 13",Artimiausia parduotuvė
